Time,Distance(mm),angleServo1,angleServo2
16:38:41,212.0,22,0
16:38:41,216.0,23,0
16:38:41,220.0,24,0
16:38:41,216.0,23,0
16:38:41,216.0,23,0
16:38:41,215.0,23,0
16:38:41,209.0,21,0
16:38:41,214.0,22,0
16:38:41,211.0,22,0
16:38:41,215.0,23,0
16:38:41,215.0,23,0
16:38:41,213.0,22,0
16:38:41,214.0,22,0
16:38:41,220.0,24,0
16:38:41,212.0,22,0
16:38:41,214.0,22,0
16:38:41,215.0,23,0
16:38:41,214.0,22,0
16:38:41,210.0,22,0
16:38:41,217.0,23,0
16:38:41,216.0,23,0
16:38:41,212.0,22,0
16:38:41,215.0,23,0
16:38:41,213.0,22,0
16:38:41,218.0,23,0
16:38:41,215.0,23,0
16:38:41,217.0,23,0
16:38:41,218.0,23,0
16:38:41,209.0,21,0
16:38:41,221.0,24,0
16:38:41,209.0,21,0
16:38:42,219.0,23,0
16:38:42,211.0,22,0
16:38:42,211.0,22,0
16:38:42,211.0,22,0
16:38:42,222.0,24,0
16:38:42,135.0,7,0
16:38:42,94.0,0,0
16:38:42,83.0,0,0
16:38:42,83.0,0,160
16:38:42,83.0,0,160
16:38:43,184.0,16,160
16:38:43,92.0,0,160
16:38:43,75.0,0,160
16:38:43,75.0,0,160
16:38:43,72.0,0,160
16:38:43,70.0,0,160
16:38:43,73.0,0,160
16:38:43,74.0,0,160
16:38:43,80.0,0,160
16:38:43,79.0,0,160
16:38:44,71.0,0,160
16:38:44,98.0,0,160
16:38:44,98.0,0,0
16:38:44,98.0,0,0
16:38:44,63.0,0,0
16:38:44,63.0,0,160
16:38:44,63.0,0,160
16:38:44,185.0,17,160
16:38:44,136.0,7,160
16:38:44,104.0,0,160
16:38:44,108.0,1,160
16:38:45,101.0,0,160
16:38:45,100.0,0,160
16:38:45,107.0,1,160
16:38:45,125.0,5,160
16:38:45,132.0,6,160
16:38:45,135.0,7,160
16:38:45,125.0,5,160
16:38:45,168.0,13,160
16:38:45,179.0,15,160
16:38:45,217.0,23,160
16:38:46,226.0,25,160
16:38:46,211.0,22,160
16:38:46,235.0,27,160
16:38:46,214.0,22,160
16:38:46,214.0,22,160
16:38:46,283.0,36,160
16:38:46,194.0,18,160
16:38:46,217.0,23,160
16:38:46,226.0,25,160
16:38:47,280.0,36,160
16:38:47,277.0,35,160
16:38:47,224.0,24,160
16:38:47,282.0,36,160
16:38:47,228.0,25,160
16:38:47,225.0,25,160
16:38:47,282.0,36,160
16:38:47,282.0,36,160
16:38:47,229.0,25,160
